nba_id,player_name,first_name,last_name,season,season_label,team,lebron_team_string,position,games_played,minutes_played,team_mpg,lebron_mpg,lebron,o_lebron,d_lebron,war,off_role,def_role,team_wins,team_losses,team_win_pct,is_multi_team,team_count,name_match_key,name_match_status,basketball_reference_name,data_source,source_url
1626145,Tyus Jones,Tyus,Jones,2026,2025-26,DAL,ORL/DAL/DEN,PG,8,133,16.625,14.602,-0.85,-0.443,-0.407,0.987,Primary Ball Handler,Point of Attack,26,56,0.317,true,3,tyus jones,exact_name,Tyus Jones,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/DAL/2026.html
1626145,Tyus Jones,Tyus,Jones,2026,2025-26,DEN,ORL/DAL/DEN,PG,11,92,8.364,14.602,-0.85,-0.443,-0.407,0.987,Primary Ball Handler,Point of Attack,54,28,0.659,true,3,tyus jones,exact_name,Tyus Jones,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/DEN/2026.html
1626156,D'Angelo Russell,D'Angelo,Russell,2026,2025-26,DAL,DAL,PG,26,495,19.038,19.027,-1.277,0.201,-1.477,0.367,Primary Ball Handler,Chaser,26,56,0.317,false,1,d angelo russell,exact_name,D'Angelo Russell,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/DAL/2026.html
1626157,Karl-Anthony Towns,Karl-Anthony,Towns,2026,2025-26,NYK,NYK,C,75,2322,30.96,30.953,3.044,2.152,0.893,7.966,Versatile Big,Mobile Big,53,29,0.646,false,1,karl anthony towns,exact_name,Karl-Anthony Towns,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/NYK/2026.html
1626162,Kelly Oubre Jr.,Kelly,Oubre Jr.,2026,2025-26,PHI,PHI,SF,50,1574,31.48,31.484,-2.405,-1.059,-1.346,0.066,Shot Creator,Wing Stopper,45,37,0.549,false,1,kelly oubre jr,exact_name,Kelly Oubre Jr.,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/PHI/2026.html
1626164,Devin Booker,Devin,Booker,2026,2025-26,PHO,PHO,SG,64,2146,33.531,33.534,2.489,2.85,-0.361,6.637,Shot Creator,Helper,45,37,0.549,false,1,devin booker,exact_name,Devin Booker,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/PHO/2026.html
1626166,Cameron Payne,Cameron,Payne,2026,2025-26,PHI,PHI,PG,22,374,17,17.015,-0.015,0.173,-0.187,0.574,Primary Ball Handler,Chaser,45,37,0.549,false,1,cameron payne,exact_name,Cameron Payne,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/PHI/2026.html
1626167,Myles Turner,Myles,Turner,2026,2025-26,MIL,MIL,C,71,1912,26.93,26.925,0.072,-1.079,1.152,3.034,Stretch Big,Mobile Big,32,50,0.39,false,1,myles turner,exact_name,Myles Turner,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/MIL/2026.html
1626171,Bobby Portis,Bobby,Portis,2026,2025-26,MIL,MIL,PF,67,1619,24.164,24.167,-2.306,-0.446,-1.861,0.167,Versatile Big,Helper,32,50,0.39,false,1,bobby portis,exact_name,Bobby Portis,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/MIL/2026.html
1626172,Kevon Looney,Kevon,Looney,2026,2025-26,NOP,NOP,C,21,308,14.667,14.641,-0.448,-0.986,0.538,0.388,Athletic Finisher,Mobile Big,26,56,0.317,false,1,kevon looney,exact_name,Kevon Looney,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/NOP/2026.html
1626181,Norman Powell,Norman,Powell,2026,2025-26,MIA,MIA,SG,58,1717,29.603,29.601,0.582,0.908,-0.327,3.273,Shot Creator,Chaser,43,39,0.524,false,1,norman powell,exact_name,Norman Powell,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/MIA/2026.html
